DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ex1,1,Mk10,DS,3,0,1,44,33,12:04:40 23-May-2017,NN,Z,35.4112,-75.6890,33.0350,-64.1162,38,,401677521,-129
ex1,1,Mk10,DS,1,0,0,,,12:53:59 23-May-2017,NK,,,,,,,,401650000,-135
ex1,1,Mk10,DS,5,0,5,21,15,19:59:20 23-May-2017,NP,0,35.3300,-74.8579,34.2899,-79.7020,58,,401677563,-122
ex1,1,Mk10,DS,6,0,2,26,16,00:17:05 24-May-2017,NK,0,35.2486,-75.0597,26.2995,-116.7111,50,,401677605,-128
ex1,1,Mk10,DS,1,0,1,,,01:53:19 24-May-2017,MA,,,,,,,,401650000,-133
ex1,1,Mk10,DS,2,0,2,59,59,08:17:58 24-May-2017,NP,B,35.0531,-75.8813,31.3407,-64.8691,,,401677610,-132
ex1,1,Mk10,DS,1,0,1,,,10:12:46 24-May-2017,SR,,,,,,,,401650000,-133
ex1,1,Mk10,DS,8,0,4,22,15,11:49:25 24-May-2017,SR,0,35.3335,-75.0576,28.2237,-109.3065,50,,401677613,-129
ex1,1,Mk10,DS,6,0,4,31,18,11:49:25 24-May-2017,NN,1,32.0103,-59.5128,35.2510,-74.7529,50,,401677617,-124
ex1,1,Mk10,DS,5,0,4,25,17,12:36:08 24-May-2017,NK,0,35.2541,-75.0302,40.5093,-101.7083,58,,401677577,-128
ex1,1,Mk10,DS,4,0,4,33,16,13:28:22 24-May-2017,NN,0,35.4272,-74.9250,42.2261,-107.1204,67,,401677639,-127
ex1,1,Mk10,DS,1,0,1,,,14:14:36 24-May-2017,MA,,,,,,,,401650000,-135
ex1,1,Mk10,DS,5,0,4,27,17,15:45:55 24-May-2017,MA,0,35.3811,-74.6129,40.8602,-101.3531,58,,401677686,-120
ex1,1,Mk10,DS,1,0,0,,,23:06:54 24-May-2017,NN,,,,,,,,401650000,-140
ex1,1,Mk10,DS,4,0,3,39,16,23:52:26 24-May-2017,NK,0,35.3602,-74.9363,28.9506,-104.9127,50,,401677565,-128
ex1,1,Mk10,DS,8,0,5,43,15,02:20:32 25-May-2017,MB,1,35.2792,-74.8647,33.7845,-82.2495,50,,401677579,-126
ex1,1,Mk10,DS,5,0,5,146,15,08:11:59 25-May-2017,NP,1,35.2638,-74.8049,32.5008,-60.8647,58,,401677536,-129
ex1,1,Mk10,DS,4,0,4,24,17,09:54:23 25-May-2017,NP,0,35.2184,-75.0617,42.1070,-109.2046,68,,401677565,-132
ex1,1,Mk10,DS,1,0,1,,,11:31:51 25-May-2017,NN,,,,,,,,401650000,-137
ex1,1,Mk10,DS,2,0,1,37,37,13:18:03 25-May-2017,NN,B,35.2461,-75.0765,40.7385,-101.4758,8,,401677536,-132
ex1,1,Mk10,DS,6,0,3,40,17,13:45:28 25-May-2017,MA,0,35.5233,-74.8859,28.8352,-43.4302,68,,401677688,-124
ex1,1,Mk10,DS,5,0,3,17,16,14:39:42 25-May-2017,MB,Z,35.4716,-75.2434,33.9541,-67.9009,38,,401677654,-125
ex1,1,Mk10,DS,2,0,1,38,38,19:40:25 25-May-2017,NP,B,35.0400,-76.1655,37.3207,-69.0836,8,,401677536,-133
ex1,1,Mk10,DS,2,0,1,15,15,21:19:12 25-May-2017,NP,B,35.7169,-74.8848,26.4338,-117.3842,,,401677536,-132
ex1,1,Mk10,DS,1,0,1,,,21:21:57 25-May-2017,NN,,,,,,,,401650000,-137
ex1,1,Mk10,DS,5,0,3,27,15,22:58:53 25-May-2017,NN,1,35.3623,-74.7948,38.1205,-61.4986,60,,401677651,-124
ex1,1,Mk10,DS,5,0,4,24,17,23:20:06 25-May-2017,NK,0,36.5347,-72.7769,31.9397,-96.2773,60,,401677776,-130
ex1,1,Mk10,DS,3,0,2,41,19,23:35:23 25-May-2017,SR,Z,35.3130,-74.1434,36.2740,-79.0656,30,,401677544,-135
